[00000] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=1 r=nanpx]
[00001] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=2 r=nanpx]
[00002] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=3 r=nanpx]
[00003] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=4 r=nanpx]
[00004] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=5 r=nanpx]
[00005] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=6 r=nanpx]
[00006] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=7 r=nanpx]
[00007] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=8 r=nanpx]
[00008] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=9 r=nanpx]
[00009] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=10 r=nanpx]
[00010] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=11 r=nanpx]
[00011] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=12 r=nanpx]
[00012] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=13 r=nanpx]
[00013] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=14 r=nanpx]
[00014] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=15 r=nanpx]
[00015] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=16 r=nanpx]
[00016] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=17 r=nanpx]
[00017] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=18 r=nanpx]
[00018] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=19 r=nanpx]
[00019] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=20 r=nanpx]
[00020] DAY      meanV=173.2 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=21 r=nanpx]
[00021] DAY      meanV=173.2 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=22 r=nanpx]
[00022] DAY      meanV=173.2 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=23 r=nanpx]
