Warning: Ignoring XDG_SESSION_TYPE=wayland on Gnome. Use QT_QPA_PLATFORM=wayland to run on Wayland anyway.
[00000] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[-]
[00001] DAY      EO=2 IR=1 fused[EO+IR:0.64] tracks[-]
[00002] DAY      EO=2 IR=1 fused[EO+IR:0.63] tracks[#1]
[00003] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00004] DAY      EO=1 IR=1 fused[EO+IR:0.60] tracks[#1]
[00005] DAY      EO=1 IR=1 fused[EO+IR:0.60] tracks[#1]
[00006] DAY      EO=1 IR=1 fused[EO+IR:0.59] tracks[#1]
[00007] DAY      EO=1 IR=1 fused[EO+IR:0.60] tracks[#1]
[00008] DAY      EO=1 IR=1 fused[EO+IR:0.61] tracks[#1]
[00009] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00010] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00011] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00012] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00013] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00014] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00015] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00016] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00017] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00018] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00019] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00020] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00021] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00022] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00023] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00024] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00025] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00026] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00027] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00028] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00029] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00030] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00031] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
[00032] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00033] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00034] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00035] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00036] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
[00037] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
[00038] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
[00039] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
[00040] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
[00041] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00042] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00043] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
[00044] DAY      EO=1 IR=1 fused[EO+IR:0.66] tracks[#1]
[00045] DAY      EO=1 IR=1 fused[EO+IR:0.66] tracks[#1]
[00046] DAY      EO=1 IR=1 fused[EO+IR:0.66] tracks[#1]
[00047] DAY      EO=1 IR=1 fused[EO+IR:0.68] tracks[#1]
[00048] DAY      EO=1 IR=1 fused[EO+IR:0.66] tracks[#1]
[00049] DAY      EO=1 IR=1 fused[EO+IR:0.66] tracks[#1]
[00050] DAY      EO=1 IR=1 fused[EO+IR:0.67] tracks[#1]
[00051] DAY      EO=1 IR=1 fused[EO+IR:0.68] tracks[#1]
[00052] DAY      EO=1 IR=1 fused[EO+IR:0.68] tracks[#1]
[00053] DAY      EO=1 IR=1 fused[EO+IR:0.68] tracks[#1]
[00054] DAY      EO=1 IR=1 fused[EO+IR:0.67] tracks[#1]
[00055] DAY      EO=1 IR=1 fused[EO+IR:0.68] tracks[#1]
[00056] DAY      EO=1 IR=1 fused[EO+IR:0.68] tracks[#1]
[00057] DAY      EO=1 IR=1 fused[EO+IR:0.68] tracks[#1]
[00058] DAY      EO=1 IR=1 fused[EO+IR:0.68] tracks[#1]
[00059] DAY      EO=1 IR=1 fused[EO+IR:0.67] tracks[#1]
[00060] DAY      EO=1 IR=1 fused[EO+IR:0.67] tracks[#1]
[00061] DAY      EO=1 IR=1 fused[EO+IR:0.67] tracks[#1]
[00062] DAY      EO=1 IR=1 fused[EO+IR:0.68] tracks[#1]
[00063] DAY      EO=1 IR=1 fused[EO+IR:0.68] tracks[#1]
[00064] DAY      EO=1 IR=1 fused[EO+IR:0.67] tracks[#1]
[00065] DAY      EO=1 IR=1 fused[EO+IR:0.66] tracks[#1]
[00066] DAY      EO=1 IR=1 fused[EO+IR:0.67] tracks[#1]
[00067] DAY      EO=1 IR=1 fused[EO+IR:0.67] tracks[#1]
[00068] DAY      EO=1 IR=1 fused[EO+IR:0.66] tracks[#1]
[00069] DAY      EO=1 IR=1 fused[EO+IR:0.68] tracks[#1]
[00070] DAY      EO=1 IR=1 fused[EO+IR:0.66] tracks[#1]
[00071] DAY      EO=1 IR=1 fused[EO+IR:0.66] tracks[#1]
[00072] DAY      EO=1 IR=1 fused[EO+IR:0.67] tracks[#1]
[00073] DAY      EO=1 IR=1 fused[EO+IR:0.66] tracks[#1]
[00074] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
[00075] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
[00076] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00077] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00078] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00079] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00080] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00081] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00082] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
[00083] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00084] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00085] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00086] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00087] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00088] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00089] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00090] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00091] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
