[00000] DAY      meanV=173.1 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[-] reg[LOCKED n=0 r=nanpx]
[00001] DAY      meanV=173.1 EO=3 IR=1 | fused[EO+IR:0.64] | tracks[-] reg[LOCKED n=0 r=nanpx]
[00002] DAY      meanV=173.1 EO=2 IR=1 | fused[EO+IR:0.63] | tracks[#1@(130,803)] reg[LOCKED n=0 r=nanpx]
[00003] DAY      meanV=173.1 EO=4 IR=1 | fused[EO+IR:0.63] | tracks[#1@(133,804)] reg[LOCKED n=0 r=nanpx]
[00004] DAY      meanV=173.1 EO=4 IR=1 | fused[EO+IR:0.60] | tracks[#1@(131,804)] reg[LOCKED n=0 r=nanpx]
[00005] DAY      meanV=173.1 EO=4 IR=1 | fused[EO+IR:0.60] | tracks[#1@(128,803)] reg[LOCKED n=0 r=nanpx]
[00006] DAY      meanV=173.1 EO=3 IR=1 | fused[EO+IR:0.59] | tracks[#1@(133,804)] reg[LOCKED n=0 r=nanpx]
[00007] DAY      meanV=173.1 EO=4 IR=1 | fused[EO+IR:0.60] | tracks[#1@(132,804)] reg[LOCKED n=0 r=nanpx]
[00008] DAY      meanV=173.1 EO=5 IR=1 | fused[EO+IR:0.61] | tracks[#1@(134,804)] reg[LOCKED n=0 r=nanpx]
[00009] DAY      meanV=173.0 EO=5 IR=1 | fused[EO+IR:0.63] | tracks[#1@(133,804)] reg[LOCKED n=0 r=nanpx]
[00010] DAY      meanV=173.0 EO=3 IR=1 | fused[EO+IR:0.63] | tracks[#1@(133,804)] reg[LOCKED n=0 r=nanpx]
[00011] DAY      meanV=173.0 EO=5 IR=1 | fused[EO+IR:0.63] | tracks[#1@(135,804)] reg[LOCKED n=0 r=nanpx]
[00012] DAY      meanV=173.0 EO=3 IR=1 | fused[EO+IR:0.63] | tracks[#1@(135,804)] reg[LOCKED n=0 r=nanpx]
[00013] DAY      meanV=173.1 EO=6 IR=1 | fused[EO+IR:0.63] | tracks[#1@(137,802)] reg[LOCKED n=0 r=nanpx]
[00014] DAY      meanV=173.1 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(134,802)] reg[LOCKED n=0 r=nanpx]
[00015] DAY      meanV=173.1 EO=3 IR=1 | fused[EO+IR:0.64] | tracks[#1@(133,801)] reg[LOCKED n=0 r=nanpx]
[00016] DAY      meanV=173.1 EO=4 IR=1 | fused[EO+IR:0.64] | tracks[#1@(135,801)] reg[LOCKED n=0 r=nanpx]
[00017] DAY      meanV=173.1 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(136,801)] reg[LOCKED n=0 r=nanpx]
[00018] DAY      meanV=173.1 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(138,801)] reg[LOCKED n=0 r=nanpx]
[00019] DAY      meanV=173.1 EO=4 IR=1 | fused[EO+IR:0.63] | tracks[#1@(137,801)] reg[LOCKED n=0 r=nanpx]
[00020] DAY      meanV=173.2 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(133,801)] reg[LOCKED n=0 r=nanpx]
[00021] DAY      meanV=173.2 EO=4 IR=1 | fused[EO+IR:0.63] | tracks[#1@(137,801)] reg[LOCKED n=0 r=nanpx]
[00022] DAY      meanV=173.2 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(134,800)] reg[LOCKED n=1 r=nanpx]
[00023] DAY      meanV=173.2 EO=3 IR=1 | fused[EO+IR:0.63] | tracks[#1@(135,800)] reg[LOCKED n=1 r=nanpx]
[00024] DAY      meanV=173.2 EO=2 IR=1 | fused[EO+IR:0.63] | tracks[#1@(134,800)] reg[LOCKED n=1 r=nanpx]
[00025] DAY      meanV=173.1 EO=3 IR=1 | fused[EO+IR:0.62] | tracks[#1@(135,800)] reg[LOCKED n=1 r=nanpx]
[00026] DAY      meanV=173.1 EO=6 IR=1 | fused[EO+IR:0.63] | tracks[#1@(138,799)] reg[LOCKED n=1 r=nanpx]
[00027] DAY      meanV=173.1 EO=2 IR=1 | fused[EO+IR:0.63] | tracks[#1@(138,799)] reg[LOCKED n=1 r=nanpx]
[00028] DAY      meanV=173.1 EO=2 IR=1 | fused[EO+IR:0.63] | tracks[#1@(135,798)] reg[LOCKED n=1 r=nanpx]
[00029] DAY      meanV=173.1 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(134,798)] reg[LOCKED n=1 r=nanpx]
[00030] DAY      meanV=173.1 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(135,798)] reg[LOCKED n=1 r=nanpx]
[00031] DAY      meanV=173.1 EO=2 IR=1 | fused[EO+IR:0.65] | tracks[#1@(135,797)] reg[LOCKED n=1 r=nanpx]
[00032] DAY      meanV=173.1 EO=3 IR=1 | fused[EO+IR:0.64] | tracks[#1@(134,796)] reg[LOCKED n=1 r=nanpx]
[00033] DAY      meanV=173.1 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(135,796)] reg[LOCKED n=1 r=nanpx]
[00034] DAY      meanV=173.1 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(134,796)] reg[LOCKED n=1 r=nanpx]
[00035] DAY      meanV=173.0 EO=3 IR=1 | fused[EO+IR:0.64] | tracks[#1@(133,796)] reg[LOCKED n=1 r=nanpx]
[00036] DAY      meanV=173.0 EO=2 IR=1 | fused[EO+IR:0.65] | tracks[#1@(131,795)] reg[LOCKED n=1 r=nanpx]
