Warning: Ignoring XDG_SESSION_TYPE=wayland on Gnome. Use QT_QPA_PLATFORM=wayland to run on Wayland anyway.
[00000] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00001] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00002] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00003] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00004] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00005] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00006] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00007] DAY      meanV=173.2 EO=1 IR=1 | fused[-] | tracks[-]
[00008] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00009] DAY      meanV=173.2 EO=1 IR=1 | fused[-] | tracks[-]
[00010] DAY      meanV=173.2 EO=1 IR=1 | fused[-] | tracks[-]
[00011] DAY      meanV=173.2 EO=1 IR=1 | fused[-] | tracks[-]
[00012] DAY      meanV=173.2 EO=1 IR=1 | fused[-] | tracks[-]
[00013] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00014] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00015] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00016] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00017] DAY      meanV=173.2 EO=1 IR=1 | fused[-] | tracks[-]
[00018] DAY      meanV=173.2 EO=1 IR=1 | fused[-] | tracks[-]
[00019] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00020] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00021] DAY      meanV=173.4 EO=0 IR=1 | fused[-] | tracks[-]
[00022] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00023] DAY      meanV=173.4 EO=1 IR=1 | fused[-] | tracks[-]
[00024] DAY      meanV=173.4 EO=1 IR=1 | fused[-] | tracks[-]
[00025] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00026] DAY      meanV=173.3 EO=0 IR=1 | fused[-] | tracks[-]
[00027] DAY      meanV=173.3 EO=0 IR=1 | fused[-] | tracks[-]
[00028] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00029] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00030] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00031] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
[00032] DAY      meanV=173.3 EO=1 IR=1 | fused[-] | tracks[-]
